"name","latitude","longitude","country","notes","reef_type","reef_zone","exposure"
"Hambongan Marine Protected Area",10.0680756301824,124.018411713654,"Philippines",NA,NA,NA,NA
"Idiacacan Inside Station 1",11.6795569565217,122.097763586957,"Philippines",NA,NA,NA,NA
"Idiacacan Inside Station 1",11.6795569565217,122.097763586957,"Philippines",NA,NA,NA,NA
"Idio Inside Station 1",11.6280440217391,122.095445326087,"Philippines",NA,NA,NA,NA
"Iniban MS",9.88884878303109,123.148789342617,"Philippines",NA,NA,NA,NA
"Iniban MS",9.88884878303109,123.148789342617,"Philippines",NA,NA,NA,NA
"Iniban Marine Sanctuary",9.88916772526971,123.14882842881,"Philippines",NA,NA,NA,NA
"Iniban Marine Sanctuary",9.88916772526971,123.14882842881,"Philippines",NA,NA,NA,NA
"Inusukan Inside Station1",10.70717,124.47272,"Philippines",NA,NA,NA,NA
"Inusukan Inside Station2",10.70642,124.47636,"Philippines",NA,NA,NA,NA
"Inusukan Outside Station3",10.71549,124.479667741935,"Philippines",NA,NA,NA,NA
"Inusukan Outside Station4",10.71549,124.4797,"Philippines",NA,NA,NA,NA
"Libertad1",11.75718,121.85178,"Philippines",NA,NA,NA,NA
"Libertad2",11.7551,121.86043,"Philippines",NA,NA,NA,NA
"Libertad3",11.75469,121.86247,"Philippines",NA,NA,NA,NA
"Libertad4",11.7548,121.86369,"Philippines",NA,NA,NA,NA
"Libertad5",11.75451,121.86774,"Philippines",NA,NA,NA,NA
"Libertad6",11.75412,121.87232,"Philippines",NA,NA,NA,NA
"Mabini MPA Inside Station1",10.62609,124.4201,"Philippines",NA,NA,NA,NA
"Mabini MPA Inside Station2",10.62665,124.41641,"Philippines",NA,NA,NA,NA
"Mabini MPA Outside Station3",10.62553,124.42918,"Philippines",NA,NA,NA,NA
"Mag-aba Inside Station 1",11.7283257638889,122.047675694444,"Philippines",NA,NA,NA,NA
"Malalison",11.4075501261564,122.022524869638,"Philippines",NA,NA,NA,NA
"Malalison",11.4075501261564,122.022524869638,"Philippines",NA,NA,NA,NA
"Malalison Island Marine Sanctuary",11.5600765028626,122.020679379771,"Philippines",NA,NA,NA,NA
"Malalison Island Marine Sanctuary",11.5600765028626,122.020679379771,"Philippines",NA,NA,NA,NA
