"name","latitude","longitude","management","country","notes","reef_type","reef_zone","exposure"
"MORAM7",-4.14972,122.80367,"Managed Access","Indonesia",NA,NA,NA,NA
"MATAO5",-4.83917,122.14491,"Reserve","Indonesia",NA,NA,NA,NA
"NTZ3",-4.4373,122.84434,"Reserve","Indonesia",NA,NA,NA,NA
"WAWON8",-3.98542,123.03827,"Managed Access","Indonesia",NA,NA,NA,NA
"KULIS9",-4.79436,123.14523,"Reserve","Indonesia",NA,NA,NA,NA
"TALRAY7",-5.44763,122.04902,"Managed Access","Indonesia",NA,NA,NA,NA
"WABUL8",-5.59789,122.87903,"Reserve","Indonesia",NA,NA,NA,NA
"KAPUN6",-5.28555,122.68118,"Managed Access","Indonesia",NA,NA,NA,NA
"PASIK6",-5.05122,122.73442,"Reserve","Indonesia",NA,NA,NA,NA
"TIWOR3",-4.63096,122.33135,"Reserve","Indonesia",NA,NA,NA,NA
"UZ3",-4.42284,122.86157,"Managed Access","Indonesia",NA,NA,NA,NA
"WABUL7",-5.58892,122.88592,"Managed Access","Indonesia",NA,NA,NA,NA
"KULIS1",-4.81342,123.12096,"Reserve","Indonesia",NA,NA,NA,NA
"KULIS8",-4.8075,123.167,"Reserve","Indonesia",NA,NA,NA,NA
"MAGIN5",-4.86419,122.25579,"Reserve","Indonesia",NA,NA,NA,NA
"MORAM1",-4.07863,122.76952,"Managed Access","Indonesia",NA,NA,NA,NA
"PASIK8",-5.09813,122.72398,"Managed Access","Indonesia",NA,NA,NA,NA
"SIOMP6",-5.62037,122.51912,"Managed Access","Indonesia",NA,NA,NA,NA
"SIONT7",-5.33657,123.19466,"Reserve","Indonesia",NA,NA,NA,NA
"MAWAS10",-5.36989,122.26509,"Reserve","Indonesia",NA,NA,NA,NA
"MAWAS8",-5.31316,122.26286,"Managed Access","Indonesia",NA,NA,NA,NA
"MAWAS9",-5.35652,122.25968,"Reserve","Indonesia",NA,NA,NA,NA
"SIONT4",-5.38184,123.15185,"Managed Access","Indonesia",NA,NA,NA,NA
"SIONT8",-5.36695,123.16908,"Reserve","Indonesia",NA,NA,NA,NA
"KAPUN7",-5.23989,122.73993,"Managed Access","Indonesia",NA,NA,NA,NA
"MATAO7",-4.865491777,122.0504294,"Managed Access","Indonesia",NA,NA,NA,NA
"MAWAS3",-5.28481,122.25244,"Reserve","Indonesia",NA,NA,NA,NA
"MAWAS7",-5.39842,122.3273,"Reserve","Indonesia",NA,NA,NA,NA
"WABUL11",-5.63841,122.84261,"Reserve","Indonesia",NA,NA,NA,NA
"PASIK1",-4.96714,122.7837,"Reserve","Indonesia",NA,NA,NA,NA
"SIONT1",-5.31553,123.20327,"Managed Access","Indonesia",NA,NA,NA,NA
"KULIS7",-4.84111,123.12006,"Managed Access","Indonesia",NA,NA,NA,NA
"SIOMP5",-5.6276,122.54023,"Managed Access","Indonesia",NA,NA,NA,NA
"WABUL10",-5.61745,122.85143,"Managed Access","Indonesia",NA,NA,NA,NA
"WABUL12",-5.65542,122.82203,"Reserve","Indonesia",NA,NA,NA,NA
"KAPUN10",-5.16226,122.74267,"Managed Access","Indonesia",NA,NA,NA,NA
"KAPUN4",-5.25015,122.70133,"Reserve","Indonesia",NA,NA,NA,NA
"KAPUN8",-5.18717,122.73701,"Reserve","Indonesia",NA,NA,NA,NA
"KAPUN9",-5.20359,122.72163,"Reserve","Indonesia",NA,NA,NA,NA
"SIONT9",-5.40467,123.11939,"Reserve","Indonesia",NA,NA,NA,NA
"PASIK2",-4.9673,122.75213,"Reserve","Indonesia",NA,NA,NA,NA
"SIOMP7",-5.65373,122.4927,"Reserve","Indonesia",NA,NA,NA,NA
