"ma_name","name","latitude","longitude","country","reef_type","reef_zone","reef_exposure"
"Tiworo Utara","tiwor1",-4.5773,122.30295,"Indonesia",NA,NA,NA
"Tiworo Utara","tiwor2",-4.58446,122.33176,"Indonesia",NA,NA,NA
"Tiworo Utara","tiwor3",-4.5773,122.30295,"Indonesia",NA,NA,NA
"Tiworo Utara","tiwor4",-4.6448,122.33294,"Indonesia",NA,NA,NA
"Tiworo Utara","tiwor5",-4.63637,122.36356,"Indonesia",NA,NA,NA
"Tiworo Utara","tiwor6",-4.6591,122.29202,"Indonesia",NA,NA,NA
"Tiworo Utara","tiwor7",-4.69816,122.39209,"Indonesia",NA,NA,NA
"Wabula","wabul1",-5.61543,122.86898,"Indonesia",NA,NA,NA
"Wabula","wabul2",-5.61752,122.86648,"Indonesia",NA,NA,NA
"Wabula","wabul3",-5.62136,122.86177,"Indonesia",NA,NA,NA
"Wabula","wabul4",-5.617447222,122.8514306,"Indonesia",NA,NA,NA
"Wabula","wabul5",-5.68715,122.54721,"Indonesia",NA,NA,NA
"Wabula","wabul6",-5.6276,122.54023,"Indonesia",NA,NA,NA
"Wabula","wabul7",-5.58892,122.88592,"Indonesia",NA,NA,NA
"Wabula","wabul8",-5.59789,122.87903,"Indonesia",NA,NA,NA
"Wabula","wabul9",-5.62037,122.51912,"Indonesia",NA,NA,NA
"Wawonii","wawon1",-4.01485,123.07786,"Indonesia",NA,NA,NA
"Wawonii","wawon2",-4.008,123.13557,"Indonesia",NA,NA,NA
"Wawonii","wawon3",-4.01045,123.15167,"Indonesia",NA,NA,NA
"Wawonii","wawon4",-4.00761,123.17924,"Indonesia",NA,NA,NA
"Wawonii","wawon5",-4.01655,123.2126,"Indonesia",NA,NA,NA
"Wawonii","wawon6",-4.02478,123.22365,"Indonesia",NA,NA,NA
"Wawonii","wawon7",-3.99474,122.9681,"Indonesia",NA,NA,NA
"Wawonii","wawon8",-3.98542,123.03827,"Indonesia",NA,NA,NA
