"site_name","name","latitude","longitude","country","reef_type","reef_zone","reef_exposure"
NA,"matao7",-4.865491777,122.0504294,"Indonesia",NA,NA,NA
NA,"mawas7",-5.39842,122.3273,"Indonesia",NA,NA,NA
NA,"wabul11",-5.63841,122.84261,"Indonesia",NA,NA,NA
NA,"kulis7",-4.84111,123.12006,"Indonesia",NA,NA,NA
NA,"wabul10",-5.61745,122.85143,"Indonesia",NA,NA,NA
NA,"wabul12",-5.65542,122.82203,"Indonesia",NA,NA,NA
NA,"kapun10",-5.16226,122.74267,"Indonesia",NA,NA,NA
NA,"kapun8",-5.18717,122.73701,"Indonesia",NA,NA,NA
NA,"kapun9",-5.20359,122.72163,"Indonesia",NA,NA,NA
NA,"siont9",-5.40467,123.11939,"Indonesia",NA,NA,NA
NA,"siomp7",-5.65373,122.4927,"Indonesia",NA,NA,NA
